symbol,date added
A,6/5/2000
AAL,3/23/2015
AAP,7/9/2015
AAPL,11/30/1982
ABBV,12/31/2012
ABC,8/30/2001
ABMD,5/31/2018
ABT,3/31/1964
ACGL,11/1/2022
ACN,7/6/2011
ADBE,5/5/1997
ADI,10/12/1999
ADM,7/29/1981
ADP,3/31/1981
ADS,12/23/2013
ADSK,12/1/1989
AEE,9/19/1991
AEP,
AES,10/2/1998
AFL,5/28/1999
AGN,4/12/1999
AIG,3/31/1980
AIV,3/14/2003
AIZ,4/10/2007
AJG,5/31/2016
AKAM,7/12/2007
ALB,7/1/2016
ALGN,6/19/2017
ALK,5/13/2016
ALL,7/13/1995
ALLE,12/2/2013
ALXN,5/25/2012
AMAT,3/16/1995
AMCR,6/7/2019
AMD,3/20/2017
AME,9/23/2013
AMGN,1/2/1992
AMP,10/3/2005
AMT,11/19/2007
AMZN,11/18/2005
ANET,8/28/2018
ANSS,6/19/2017
ANTM,7/25/2002
AON,4/23/1996
AOS,7/26/2017
APA,7/28/1997
APD,4/30/1985
APH,9/30/2008
APTV,12/24/2012
ARE,3/20/2017
ARNC,3/31/1964
ATO,2/15/2019
ATVI,8/31/2015
AVB,1/10/2007
AVGO,5/8/2014
AVY,12/31/1987
AWK,3/4/2016
AXP,6/30/1976
AZO,1/2/1997
BA,
BAC,6/30/1976
BAX,9/30/1972
BBY,6/29/1999
BDX,9/30/1972
BEN,
BF.B,10/31/1982
BIIB,11/13/2003
BIO,6/22/2020
BK,3/31/1995
BKNG,11/6/2009
BKR,7/7/2017
BLK,4/4/2011
BLL,10/31/1984
BMY,
BR,6/18/2018
BRK.B,2/16/2010
BRO,9/20/2021
BSX,2/24/1995
BWA,12/19/2011
BXP,4/3/2006
C,5/31/1988
CAG,8/31/1983
CAH,5/27/1997
CARR,4/3/2020
CAT,
CB,7/15/2010
CBOE,3/1/2017
CBRE,11/10/2006
CCI,3/14/2012
CCL,12/22/1998
CDAY,9/20/2021
CDNS,9/18/2017
CDW,9/23/2019
CE,12/24/2018
CEG,2/2/2022
CERN,4/30/2010
CF,8/27/2008
CFG,1/29/2016
CHD,12/29/2015
CHRW,3/2/2007
CHTR,9/8/2016
CI,6/30/1976
