symbol,date removed
ABK,10-Jun-08
ACAS,3-Mar-09
ADS,6/22/2020
ADT,3-May-16
AET,3-Dec-18
AGN,23-Mar-15
AGN,5/12/2020
AIV,12/21/2020
AKS,16-Dec-11
ALTR,29-Dec-15
ALXN,7/21/2021
AMD,20-Sep-13
AMG,23-Dec-19
AN,8-Aug-17
ANDV,1-Oct-18
ANF,23-Dec-13
ANR,2-Oct-12
APC,9-Aug-19
APOL,28-Jun-13
ARG,23-May-16
ATI,2-Jul-15
AV,25-Oct-07
AVP,23-Mar-15
AYE,25-Feb-11
AYI,18-Jun-18
BBBY,26-Jul-17
BCR,3-Jan-18
BEAM,1-May-14
BHF,2-Apr-19
BIG,15-Feb-13
BJS,29-Apr-10
BMC,10-Sep-13
BMS,5-Dec-14
BRCM,1-Feb-16
BS,5-Dec-00
BTU,20-Sep-14
BXLT,3-Jun-16
CA,6-Nov-18
CAM,4-Apr-16
CB,19-Jan-16
CBE,3-Dec-12
CBE,28-Sep-09
CCE,31-May-16
CCK,5-Dec-00
CEG,13-Mar-12
CELG,21-Nov-19
CEPH,14-Oct-11
CFN,18-Mar-15
CHK,19-Mar-18
CLF,2-Apr-14
CMCSK,15-Dec-15
CNX,4-Mar-16
COL,3-Dec-18
COTY,9/21/2020
COV,27-Jan-15
CPGX,5-Jul-16
CPRI,5/12/2020
CPWR,31-Dec-11
CSC,1-Dec-15
CSRA,4-Apr-18
CVC,22-Jun-16
CVH,8-May-13
CXO,1/21/2021
DD,1-Sep-17
DELL,29-Oct-13
DF,23-May-13
DJ,13-Dec-07
DNB,5-Apr-17
DNR,23-Mar-15
DO,30-Sep-16
DPS,2-Jul-18
DTV,29-Jul-15
DV,1-Oct-12
EK,17-Dec-10
EMC,8-Sep-16
ENDP,2-Mar-17
EP,17-May-12
EQT,13-Nov-18
ESRX,24-Dec-18
ESV,30-Mar-16
ETFC,10/7/2020
EVHC,11-Oct-18
FDO,8-Jul-15
FHN,21-Jun-13
FII,31-Dec-12
FL,9-Aug-19
FLIR,5/14/2021
FLR,3-Jun-19
FLS,3/22/2021
FOSL,5-Jan-16
FRX,1-Jul-14
FSLR,20-Mar-17
FTI,2/12/2021
FTR,20-Mar-17
GAS,1-Jul-16
GAS,12-Dec-11
GENZ,1-Apr-11
GGP,28-Aug-18
GHC,20-Sep-14
GLK,1-Jul-05
GMCR,7-Mar-16
GME,25-Apr-16
GNW,18-Nov-15
GR,31-Jul-12
GRA,5-Dec-00
GT,27-Feb-19
HAR,16-Mar-17
HBI,12/20/2021
HCBK,2-Nov-15
HFC,6/4/2021
HNZ,6-Jun-13
HOG,6/22/2020
HOT,22-Sep-16
HP,5/22/2020
HRB,9/21/2020
HSP,2-Sep-15
IGT,20-Jun-14
ITT,31-Oct-11
JBL,5-Nov-14
JCI,6-Sep-16
JCP,2-Dec-13
JDSU,23-Dec-13
JEF,26-Sep-19
JNS,18-Nov-11
JNY,3-Mar-09
JOY,7-Oct-15
JWN,6/22/2020
KG,17-Dec-10
KRFT,6-Jul-15
KSE,24-Aug-07
KSS,9/21/2020
KSU,12/14/2021
LEG,12/20/2021
LIFE,24-Jan-14
LLL,1-Jul-19
LLTC,13-Mar-17
LM,2-Dec-16
LO,11-Jun-15
LSI,8-May-14
LVLT,13-Oct-17
LXK,1-Oct-12
M,4/6/2020
MAC,23-Dec-19
MAT,7-Jun-19
MEE,1-Jun-11
MFE,28-Feb-11
MHS,3-Apr-12
MI,5-Jul-11
MIL,14-Jul-10
MJN,19-Jun-17
MMI,21-May-12
MNK,26-Jul-17
MOLX,10-Dec-13
MON,7-Jun-18
MUR,26-Jul-17
MWW,16-Dec-11
MXIM,8/30/2021
NAVI,5-Jun-18
NBL,10/12/2020
NBR,23-Mar-15
NE,20-Jul-15
NFX,15-Feb-19
NKTR,3-Oct-19
NOV ,9/20/2021
NOVL,27-Apr-11
NSM,23-Sep-11
NVLS,5-Jun-12
NYT,17-Dec-10
NYX,13-Nov-13
ODP,17-Dec-10
OI,2-Dec-16
OI,5-Dec-00
PBI,1-Mar-17
PCG,18-Jan-19
PCL,22-Feb-16
